eventId,eventName,eventSec,id,matchId,matchPeriod,playerId,positions,subEventId,subEventName,tags,teamId
8,Pass,2.524582000000009,233623730,2576229,1H,21123,"[{'y': 49, 'x': 47}, {'y': 49, 'x': 34}]",85,Simple pass,[{'id': 1801}],3166
8,Pass,5.04386199999999,233623739,2576229,1H,21373,"[{'y': 49, 'x': 34}, {'y': 24, 'x': 68}]",83,High pass,[{'id': 1801}],3166
1,Duel,7.137490000000014,233623732,2576229,1H,149848,"[{'y': 24, 'x': 68}, {'y': 29, 'x': 59}]",10,Air duel,"[{'id': 701}, {'id': 1802}]",3166
1,Duel,7.363871000000017,233623719,2576229,1H,625,"[{'y': 76, 'x': 32}, {'y': 71, 'x': 41}]",10,Air duel,"[{'id': 703}, {'id': 1801}]",3172
8,Pass,9.189948000000015,233623734,2576229,1H,90268,"[{'y': 29, 'x': 59}, {'y': 21, 'x': 64}]",85,Simple pass,[{'id': 1801}],3166
8,Pass,10.188028999999972,233623736,2576229,1H,295273,"[{'y': 21, 'x': 64}, {'y': 34, 'x': 68}]",85,Simple pass,[{'id': 1801}],3166
1,Duel,11.196751000000006,233623720,2576229,1H,86366,"[{'y': 66, 'x': 32}, {'y': 66, 'x': 30}]",12,Ground defending duel,"[{'id': 504}, {'id': 701}, {'id': 1802}]",3172
1,Duel,11.285753999999997,233623740,2576229,1H,149848,"[{'y': 34, 'x': 68}, {'y': 34, 'x': 70}]",11,Ground attacking duel,"[{'id': 503}, {'id': 703}, {'id': 1801}]",3166
8,Pass,12.77859699999999,233623741,2576229,1H,149848,"[{'y': 34, 'x': 70}, {'y': 40, 'x': 73}]",85,Simple pass,[{'id': 1802}],3166
8,Pass,14.415683999999999,233623721,2576229,1H,41034,"[{'y': 60, 'x': 27}, {'y': 21, 'x': 22}]",85,Simple pass,[{'id': 1801}],3172
8,Pass,17.36380700000001,233623722,2576229,1H,190167,"[{'y': 21, 'x': 22}, {'y': 30, 'x': 18}]",85,Simple pass,[{'id': 1801}],3172
8,Pass,19.789923999999985,233623723,2576229,1H,20841,"[{'y': 30, 'x': 18}, {'y': 8, 'x': 19}]",85,Simple pass,[{'id': 1801}],3172
1,Duel,22.613383999999996,233623724,2576229,1H,190167,"[{'y': 8, 'x': 19}, {'y': 9, 'x': 15}]",11,Ground attacking duel,"[{'id': 702}, {'id': 1801}]",3172
1,Duel,22.613383999999996,233625766,2576229,1H,0,"[{'y': 92, 'x': 81}, {'y': 91, 'x': 85}]",12,Ground defending duel,"[{'id': 702}, {'id': 1801}]",3166
8,Pass,23.037817000000018,233623725,2576229,1H,190167,"[{'y': 9, 'x': 15}, {'y': 11, 'x': 10}]",85,Simple pass,[{'id': 1801}],3172
7,Others on the ball,24.734189000000015,233623726,2576229,1H,20841,"[{'y': 11, 'x': 10}, {'y': 0, 'x': 24}]",71,Clearance,[{'id': 1802}],3172
5,Interruption,31.393079999999998,233623749,2576229,1H,0,"[{'y': 100, 'x': 76}, {'y': 0, 'x': 0}]",50,Ball out of the field,[],3166
3,Free Kick,42.06879600000002,233623758,2576229,1H,20707,"[{'y': 100, 'x': 72}, {'y': 89, 'x': 83}]",36,Throw in,[{'id': 1801}],3166
8,Pass,45.55318999999997,233623759,2576229,1H,21123,"[{'y': 89, 'x': 83}, {'y': 41, 'x': 90}]",80,Cross,"[{'id': 401}, {'id': 801}, {'id': 1802}]",3166
7,Others on the ball,46.64315399999998,233623727,2576229,1H,41034,"[{'y': 59, 'x': 10}, {'y': 91, 'x': 20}]",71,Clearance,[{'id': 1802}],3172
7,Others on the ball,50.25177100000002,233623760,2576229,1H,232822,"[{'y': 9, 'x': 80}, {'y': 7, 'x': 59}]",72,Touch,[],3166
8,Pass,54.651859,233623762,2576229,1H,232822,"[{'y': 7, 'x': 59}, {'y': 2, 'x': 53}]",85,Simple pass,[{'id': 1801}],3166
8,Pass,55.877125999999976,233623765,2576229,1H,50805,"[{'y': 2, 'x': 53}, {'y': 7, 'x': 69}]",85,Simple pass,[{'id': 1801}],3166
1,Duel,57.26010600000001,233623767,2576229,1H,295273,"[{'y': 7, 'x': 69}, {'y': 8, 'x': 61}]",11,Ground attacking duel,"[{'id': 602}, {'id': 701}, {'id': 1802}]",3166
1,Duel,57.671358,233623729,2576229,1H,625,"[{'y': 93, 'x': 31}, {'y': 92, 'x': 39}]",12,Ground defending duel,"[{'id': 601}, {'id': 703}, {'id': 1801}]",3172
8,Pass,58.36196799999999,233623731,2576229,1H,246175,"[{'y': 92, 'x': 39}, {'y': 98, 'x': 40}]",85,Simple pass,[{'id': 1802}],3172
1,Duel,59.991243,233623769,2576229,1H,295273,"[{'y': 2, 'x': 60}, {'y': 7, 'x': 58}]",11,Ground attacking duel,"[{'id': 1401}, {'id': 702}, {'id': 1801}]",3166
1,Duel,59.991243,233625767,2576229,1H,0,"[{'y': 98, 'x': 40}, {'y': 93, 'x': 42}]",12,Ground defending duel,"[{'id': 702}, {'id': 1801}]",3172
8,Pass,60.551454999999976,233623770,2576229,1H,295273,"[{'y': 7, 'x': 58}, {'y': 26, 'x': 57}]",85,Simple pass,[{'id': 1801}],3166
8,Pass,62.68715500000002,233623771,2576229,1H,90268,"[{'y': 26, 'x': 57}, {'y': 49, 'x': 46}]",85,Simple pass,[{'id': 1801}],3166
1,Duel,64.64650699999999,233623733,2576229,1H,21077,"[{'y': 51, 'x': 54}, {'y': 52, 'x': 54}]",12,Ground defending duel,"[{'id': 702}, {'id': 1801}]",3172
1,Duel,64.64650699999999,233625768,2576229,1H,0,"[{'y': 49, 'x': 46}, {'y': 48, 'x': 46}]",11,Ground attacking duel,"[{'id': 702}, {'id': 1801}]",3166
8,Pass,65.03797800000001,233623772,2576229,1H,21373,"[{'y': 48, 'x': 46}, {'y': 91, 'x': 54}]",85,Simple pass,[{'id': 1801}],3166
8,Pass,69.24039199999999,233623774,2576229,1H,20707,"[{'y': 91, 'x': 54}, {'y': 86, 'x': 76}]",85,Simple pass,[{'id': 1801}],3166
1,Duel,71.13565699999998,233623776,2576229,1H,259292,"[{'y': 86, 'x': 76}, {'y': 68, 'x': 76}]",11,Ground attacking duel,"[{'id': 703}, {'id': 1801}]",3166
1,Duel,71.36794400000002,233623735,2576229,1H,20841,"[{'y': 14, 'x': 24}, {'y': 32, 'x': 24}]",12,Ground defending duel,"[{'id': 701}, {'id': 1802}]",3172
10,Shot,72.97319399999998,233623778,2576229,1H,259292,"[{'y': 68, 'x': 76}, {'y': 0, 'x': 0}]",100,Shot,"[{'id': 401}, {'id': 2101}, {'id': 1802}]",3166
7,Others on the ball,74.43611700000002,233623737,2576229,1H,86366,"[{'y': 31, 'x': 19}, {'y': 79, 'x': 10}]",72,Touch,[{'id': 1401}],3172
8,Pass,76.56376499999999,233623780,2576229,1H,232822,"[{'y': 21, 'x': 90}, {'y': 33, 'x': 91}]",80,Cross,"[{'id': 401}, {'id': 1802}]",3166
7,Others on the ball,78.28130800000002,233623738,2576229,1H,263803,"[{'y': 67, 'x': 9}, {'y': 76, 'x': 0}]",71,Clearance,[{'id': 1401}],3172
5,Interruption,87.17832099999998,233623781,2576229,1H,0,"[{'y': 24, 'x': 100}, {'y': 0, 'x': 0}]",50,Ball out of the field,[],3166
3,Free Kick,108.47629899999998,233623785,2576229,1H,21123,"[{'y': 0, 'x': 100}, {'y': 43, 'x': 97}]",30,Corner,"[{'id': 801}, {'id': 201}, {'id': 1802}]",3166
5,Interruption,113.98427300000003,233623788,2576229,1H,0,"[{'y': 43, 'x': 97}, {'y': 0, 'x': 0}]",50,Ball out of the field,[],3166
3,Free Kick,155.100996,233623742,2576229,1H,50849,"[{'y': 100, 'x': 100}, {'y': 77, 'x': 54}]",34,Goal kick,[],3172
1,Duel,157.90779799999996,233623792,2576229,1H,295273,"[{'y': 23, 'x': 46}, {'y': 10, 'x': 40}]",10,Air duel,"[{'id': 702}, {'id': 1801}]",3166
1,Duel,158.79545599999994,233623744,2576229,1H,20404,"[{'y': 77, 'x': 54}, {'y': 90, 'x': 60}]",10,Air duel,"[{'id': 702}, {'id': 1801}]",3172
8,Pass,160.20484999999996,233623793,2576229,1H,232822,"[{'y': 10, 'x': 40}, {'y': 23, 'x': 38}]",82,Head pass,[{'id': 1801}],3166
8,Pass,161.38664100000005,233623795,2576229,1H,90268,"[{'y': 23, 'x': 38}, {'y': 37, 'x': 18}]",85,Simple pass,[{'id': 1801}],3166
8,Pass,163.741666,233623796,2576229,1H,20483,"[{'y': 37, 'x': 18}, {'y': 37, 'x': 69}]",84,Launch,[{'id': 1801}],3166
1,Duel,168.02558599999998,233623745,2576229,1H,86366,"[{'y': 63, 'x': 31}, {'y': 59, 'x': 35}]",10,Air duel,"[{'id': 703}, {'id': 1801}]",3172
1,Duel,168.59714099999997,233623798,2576229,1H,149848,"[{'y': 37, 'x': 69}, {'y': 41, 'x': 65}]",10,Air duel,"[{'id': 701}, {'id': 1802}]",3166
8,Pass,169.758467,233623747,2576229,1H,625,"[{'y': 59, 'x': 35}, {'y': 40, 'x': 28}]",85,Simple pass,[{'id': 1801}],3172
8,Pass,171.80564100000004,233623748,2576229,1H,20841,"[{'y': 40, 'x': 28}, {'y': 6, 'x': 33}]",85,Simple pass,[{'id': 1801}],3172
8,Pass,175.15551500000004,233623750,2576229,1H,190167,"[{'y': 6, 'x': 33}, {'y': 11, 'x': 60}]",85,Simple pass,[{'id': 1802}],3172
8,Pass,180.18352800000002,233623803,2576229,1H,20707,"[{'y': 89, 'x': 40}, {'y': 72, 'x': 32}]",85,Simple pass,[{'id': 1801}],3166
8,Pass,185.298672,233623804,2576229,1H,21373,"[{'y': 72, 'x': 32}, {'y': 81, 'x': 47}]",83,High pass,[{'id': 1802}],3166
8,Pass,187.496896,233623751,2576229,1H,49991,"[{'y': 19, 'x': 53}, {'y': 30, 'x': 60}]",85,Simple pass,"[{'id': 1401}, {'id': 1801}]",3172
7,Others on the ball,188.79564300000004,233623753,2576229,1H,21077,"[{'y': 30, 'x': 60}, {'y': 33, 'x': 64}]",72,Touch,[],3172
1,Duel,189.07891199999995,233623809,2576229,1H,90268,"[{'y': 67, 'x': 36}, {'y': 86, 'x': 41}]",12,Ground defending duel,"[{'id': 703}, {'id': 1801}]",3166
1,Duel,189.07891199999995,233625769,2576229,1H,0,"[{'y': 33, 'x': 64}, {'y': 14, 'x': 59}]",11,Ground attacking duel,"[{'id': 701}, {'id': 1802}]",3172
7,Others on the ball,193.29775700000005,233623812,2576229,1H,21123,"[{'y': 86, 'x': 41}, {'y': 62, 'x': 68}]",70,Acceleration,[{'id': 1801}],3166
8,Pass,196.60501499999998,233623813,2576229,1H,21123,"[{'y': 62, 'x': 68}, {'y': 62, 'x': 92}]",83,High pass,"[{'id': 901}, {'id': 1802}]",3166
8,Pass,202.37395100000003,233623754,2576229,1H,50849,"[{'y': 38, 'x': 8}, {'y': 16, 'x': 24}]",81,Hand pass,[{'id': 1801}],3172
8,Pass,207.27081499999997,233623755,2576229,1H,86366,"[{'y': 16, 'x': 24}, {'y': 48, 'x': 15}]",85,Simple pass,[{'id': 1801}],3172
8,Pass,211.01971400000002,233623756,2576229,1H,20841,"[{'y': 48, 'x': 15}, {'y': 77, 'x': 31}]",85,Simple pass,[{'id': 1801}],3172
8,Pass,213.88015600000006,233623757,2576229,1H,625,"[{'y': 77, 'x': 31}, {'y': 93, 'x': 40}]",85,Simple pass,[{'id': 1801}],3172
8,Pass,217.19497,233623761,2576229,1H,41034,"[{'y': 93, 'x': 40}, {'y': 73, 'x': 28}]",85,Simple pass,[{'id': 1801}],3172
8,Pass,219.37387,233623763,2576229,1H,625,"[{'y': 73, 'x': 28}, {'y': 27, 'x': 24}]",85,Simple pass,[{'id': 1801}],3172
7,Others on the ball,222.49503200000004,233623764,2576229,1H,20841,"[{'y': 27, 'x': 24}, {'y': 14, 'x': 38}]",72,Touch,[],3172
1,Duel,226.03240000000005,233623826,2576229,1H,149848,"[{'y': 86, 'x': 62}, {'y': 88, 'x': 58}]",12,Ground defending duel,"[{'id': 701}, {'id': 1802}]",3166
1,Duel,226.05293200000006,233623766,2576229,1H,20841,"[{'y': 14, 'x': 38}, {'y': 12, 'x': 42}]",11,Ground attacking duel,"[{'id': 703}, {'id': 1801}]",3172
2,Foul,228.080966,233623827,2576229,1H,149848,"[{'y': 88, 'x': 58}, {'y': 86, 'x': 62}]",20,Foul,[{'id': 1702}],3166
3,Free Kick,323.34304299999997,233623773,2576229,1H,86366,"[{'y': 19, 'x': 33}, {'y': 8, 'x': 31}]",31,Free Kick,[{'id': 1801}],3172
1,Duel,325.66031599999997,233623834,2576229,1H,259292,"[{'y': 92, 'x': 69}, {'y': 95, 'x': 70}]",12,Ground defending duel,"[{'id': 702}, {'id': 1801}]",3166
1,Duel,325.920558,233623775,2576229,1H,190167,"[{'y': 8, 'x': 31}, {'y': 5, 'x': 30}]",11,Ground attacking duel,"[{'id': 702}, {'id': 1801}]",3172
8,Pass,327.442865,233623777,2576229,1H,190167,"[{'y': 5, 'x': 30}, {'y': 5, 'x': 43}]",85,Simple pass,[{'id': 1801}],3172
1,Duel,328.57767,233623779,2576229,1H,21077,"[{'y': 5, 'x': 43}, {'y': 3, 'x': 43}]",11,Ground attacking duel,"[{'id': 703}, {'id': 1801}]",3172
1,Duel,328.651975,233623835,2576229,1H,20707,"[{'y': 95, 'x': 57}, {'y': 97, 'x': 57}]",12,Ground defending duel,"[{'id': 701}, {'id': 1802}]",3166
2,Foul,330.48809300000005,233623836,2576229,1H,20707,"[{'y': 97, 'x': 57}, {'y': 95, 'x': 57}]",20,Foul,[],3166
3,Free Kick,336.61124800000005,233623782,2576229,1H,190167,"[{'y': 10, 'x': 36}, {'y': 40, 'x': 28}]",31,Free Kick,[{'id': 1801}],3172
8,Pass,337.69759799999997,233623783,2576229,1H,20841,"[{'y': 40, 'x': 28}, {'y': 72, 'x': 29}]",85,Simple pass,[{'id': 1801}],3172
8,Pass,341.346868,233623784,2576229,1H,41034,"[{'y': 72, 'x': 29}, {'y': 95, 'x': 41}]",85,Simple pass,[{'id': 1801}],3172
8,Pass,342.70995700000003,233623786,2576229,1H,625,"[{'y': 95, 'x': 41}, {'y': 94, 'x': 42}]",85,Simple pass,[{'id': 1802}],3172
7,Others on the ball,343.084337,233623837,2576229,1H,295273,"[{'y': 6, 'x': 58}, {'y': 0, 'x': 51}]",72,Touch,[{'id': 1401}],3166
5,Interruption,347.108077,233623787,2576229,1H,0,"[{'y': 100, 'x': 49}, {'y': 100, 'x': 100}]",50,Ball out of the field,[],3172
3,Free Kick,358.24327700000003,233623789,2576229,1H,263803,"[{'y': 100, 'x': 59}, {'y': 96, 'x': 74}]",36,Throw in,[{'id': 1801}],3172
1,Duel,359.463041,233623839,2576229,1H,50805,"[{'y': 4, 'x': 26}, {'y': 4, 'x': 25}]",10,Air duel,"[{'id': 703}, {'id': 1801}]",3166
1,Duel,359.616314,233623790,2576229,1H,246175,"[{'y': 96, 'x': 74}, {'y': 96, 'x': 75}]",10,Air duel,"[{'id': 701}, {'id': 1802}]",3172
8,Pass,361.43057899999997,233623841,2576229,1H,50805,"[{'y': 4, 'x': 25}, {'y': 5, 'x': 30}]",85,Simple pass,[{'id': 1802}],3166
7,Others on the ball,361.950052,233623791,2576229,1H,246175,"[{'y': 95, 'x': 70}, {'y': 100, 'x': 69}]",72,Touch,[{'id': 1401}],3172
5,Interruption,366.46598100000006,233623794,2576229,1H,0,"[{'y': 100, 'x': 69}, {'y': 100, 'x': 100}]",50,Ball out of the field,[],3172
3,Free Kick,369.06082000000004,233623842,2576229,1H,232822,"[{'y': 0, 'x': 39}, {'y': 37, 'x': 13}]",36,Throw in,[{'id': 1801}],3166
8,Pass,372.468482,233623843,2576229,1H,21373,"[{'y': 37, 'x': 13}, {'y': 99, 'x': 34}]",83,High pass,[{'id': 1801}],3166
7,Others on the ball,377.07444699999996,233623844,2576229,1H,20707,"[{'y': 99, 'x': 34}, {'y': 100, 'x': 29}]",72,Touch,[],3166
5,Interruption,381.13412400000004,233623797,2576229,1H,0,"[{'y': 0, 'x': 71}, {'y': 100, 'x': 100}]",50,Ball out of the field,[],3172
3,Free Kick,388.10715400000004,233623800,2576229,1H,190167,"[{'y': 0, 'x': 60}, {'y': 17, 'x': 59}]",36,Throw in,[{'id': 1801}],3172
8,Pass,389.095278,233623801,2576229,1H,49991,"[{'y': 17, 'x': 59}, {'y': 5, 'x': 58}]",85,Simple pass,[{'id': 1801}],3172
8,Pass,389.43513700000005,233623802,2576229,1H,190167,"[{'y': 5, 'x': 58}, {'y': 30, 'x': 73}]",85,Simple pass,[{'id': 1802}],3172
8,Pass,393.21664799999996,233623845,2576229,1H,21373,"[{'y': 70, 'x': 27}, {'y': 54, 'x': 27}]",85,Simple pass,[{'id': 1801}],3166
8,Pass,394.684619,233623847,2576229,1H,50805,"[{'y': 54, 'x': 27}, {'y': 72, 'x': 23}]",85,Simple pass,[{'id': 1801}],3166
8,Pass,396.5135,233623849,2576229,1H,21373,"[{'y': 72, 'x': 23}, {'y': 76, 'x': 70}]",83,High pass,[{'id': 1802}],3166
8,Pass,401.90113599999995,233623805,2576229,1H,20841,"[{'y': 24, 'x': 30}, {'y': 55, 'x': 25}]",85,Simple pass,[{'id': 1801}],3172
8,Pass,403.552408,233623806,2576229,1H,41034,"[{'y': 55, 'x': 25}, {'y': 15, 'x': 22}]",85,Simple pass,[{'id': 1801}],3172
8,Pass,406.64568199999997,233623807,2576229,1H,20841,"[{'y': 15, 'x': 22}, {'y': 6, 'x': 35}]",85,Simple pass,[{'id': 1801}],3172
8,Pass,407.36192700000004,233623808,2576229,1H,190167,"[{'y': 6, 'x': 35}, {'y': 35, 'x': 12}]",85,Simple pass,[{'id': 1801}],3172
8,Pass,410.900126,233623810,2576229,1H,86366,"[{'y': 35, 'x': 12}, {'y': 72, 'x': 17}]",85,Simple pass,[{'id': 1801}],3172
7,Others on the ball,413.12249299999996,233623811,2576229,1H,41034,"[{'y': 72, 'x': 17}, {'y': 90, 'x': 35}]",72,Touch,[],3172
8,Pass,416.07048699999996,233623814,2576229,1H,41034,"[{'y': 90, 'x': 35}, {'y': 89, 'x': 56}]",85,Simple pass,[{'id': 1801}],3172
8,Pass,417.75029900000004,233623815,2576229,1H,246175,"[{'y': 89, 'x': 56}, {'y': 96, 'x': 41}]",85,Simple pass,[{'id': 1801}],3172
8,Pass,420.50488600000006,233623818,2576229,1H,41034,"[{'y': 96, 'x': 41}, {'y': 69, 'x': 46}]",85,Simple pass,[{'id': 1801}],3172
8,Pass,420.705424,233623819,2576229,1H,20404,"[{'y': 69, 'x': 46}, {'y': 87, 'x': 63}]",83,High pass,[{'id': 1801}],3172
1,Duel,423.973332,233623820,2576229,1H,263803,"[{'y': 87, 'x': 63}, {'y': 94, 'x': 73}]",13,Ground loose ball duel,"[{'id': 701}, {'id': 1802}]",3172
1,Duel,424.079164,233623858,2576229,1H,232822,"[{'y': 13, 'x': 37}, {'y': 6, 'x': 27}]",13,Ground loose ball duel,"[{'id': 703}, {'id': 1801}]",3166
8,Pass,426.01239499999997,233623860,2576229,1H,50805,"[{'y': 6, 'x': 27}, {'y': 53, 'x': 13}]",82,Head pass,[{'id': 1801}],3166
8,Pass,436.67744100000004,233623861,2576229,1H,20483,"[{'y': 53, 'x': 13}, {'y': 95, 'x': 34}]",81,Hand pass,[{'id': 1801}],3166
8,Pass,441.43337299999996,233623863,2576229,1H,20707,"[{'y': 95, 'x': 34}, {'y': 72, 'x': 25}]",85,Simple pass,[{'id': 1801}],3166
8,Pass,444.06932900000004,233623865,2576229,1H,21373,"[{'y': 72, 'x': 25}, {'y': 0, 'x': 22}]",83,High pass,[{'id': 1802}],3166
5,Interruption,448.49443699999995,233623821,2576229,1H,0,"[{'y': 100, 'x': 78}, {'y': 100, 'x': 100}]",50,Ball out of the field,[],3172
3,Free Kick,458.147242,233623822,2576229,1H,263803,"[{'y': 100, 'x': 79}, {'y': 86, 'x': 79}]",36,Throw in,[{'id': 1801}],3172
8,Pass,458.832754,233623823,2576229,1H,246175,"[{'y': 86, 'x': 79}, {'y': 91, 'x': 100}]",82,Head pass,[{'id': 1802}],3172
5,Interruption,463.02805,233623824,2576229,1H,0,"[{'y': 91, 'x': 100}, {'y': 100, 'x': 100}]",50,Ball out of the field,[],3172
3,Free Kick,471.62150599999995,233623867,2576229,1H,20483,"[{'y': 0, 'x': 0}, {'y': 38, 'x': 28}]",34,Goal kick,[],3166
8,Pass,473.918321,233623869,2576229,1H,21373,"[{'y': 38, 'x': 28}, {'y': 45, 'x': 38}]",85,Simple pass,[{'id': 1801}],3166
7,Others on the ball,475.70809099999997,233623870,2576229,1H,21123,"[{'y': 45, 'x': 38}, {'y': 27, 'x': 41}]",72,Touch,[],3166
8,Pass,476.94372799999996,233623828,2576229,1H,625,"[{'y': 73, 'x': 59}, {'y': 44, 'x': 42}]",85,Simple pass,[{'id': 1801}],3172
8,Pass,478.314304,233623829,2576229,1H,20841,"[{'y': 44, 'x': 42}, {'y': 27, 'x': 62}]",85,Simple pass,[{'id': 1801}],3172
7,Others on the ball,479.863333,233623831,2576229,1H,190167,"[{'y': 27, 'x': 62}, {'y': 6, 'x': 81}]",72,Touch,[],3172
1,Duel,486.728293,233623873,2576229,1H,259292,"[{'y': 94, 'x': 19}, {'y': 100, 'x': 0}]",12,Ground defending duel,"[{'id': 503}, {'id': 702}, {'id': 1801}]",3166
1,Duel,486.785086,233623832,2576229,1H,190167,"[{'y': 6, 'x': 81}, {'y': 0, 'x': 100}]",11,Ground attacking duel,"[{'id': 504}, {'id': 702}, {'id': 1801}]",3172
5,Interruption,489.758862,233623833,2576229,1H,0,"[{'y': 13, 'x': 100}, {'y': 100, 'x': 100}]",50,Ball out of the field,[],3172
3,Free Kick,507.232303,233623838,2576229,1H,21077,"[{'y': 0, 'x': 100}, {'y': 61, 'x': 90}]",30,Corner,"[{'id': 801}, {'id': 1802}]",3172
7,Others on the ball,511.40460900000005,233623874,2576229,1H,232822,"[{'y': 39, 'x': 10}, {'y': 20, 'x': 32}]",71,Clearance,[{'id': 1802}],3166
7,Others on the ball,512.911516,233623840,2576229,1H,263803,"[{'y': 80, 'x': 68}, {'y': 86, 'x': 76}]",72,Touch,[],3172
1,Duel,514.755124,233623846,2576229,1H,263803,"[{'y': 86, 'x': 76}, {'y': 92, 'x': 80}]",12,Ground defending duel,"[{'id': 504}, {'id': 601}, {'id': 702}, {'id': 1801}]",3172
1,Duel,514.832487,233623876,2576229,1H,21169,"[{'y': 14, 'x': 24}, {'y': 8, 'x': 20}]",11,Ground attacking duel,"[{'id': 503}, {'id': 602}, {'id': 702}, {'id': 1801}]",3166
1,Duel,516.768976,233623877,2576229,1H,259292,"[{'y': 8, 'x': 20}, {'y': 10, 'x': 23}]",13,Ground loose ball duel,"[{'id': 701}, {'id': 1802}]",3166
1,Duel,516.768976,233625770,2576229,1H,0,"[{'y': 92, 'x': 80}, {'y': 90, 'x': 77}]",13,Ground loose ball duel,"[{'id': 703}, {'id': 1801}]",3172
7,Others on the ball,517.353098,233623848,2576229,1H,263803,"[{'y': 90, 'x': 77}, {'y': 100, 'x': 79}]",72,Touch,[{'id': 1401}],3172
5,Interruption,522.10865,233623850,2576229,1H,0,"[{'y': 100, 'x': 79}, {'y': 100, 'x': 100}]",50,Ball out of the field,[],3172
3,Free Kick,534.27299,233623880,2576229,1H,232822,"[{'y': 0, 'x': 34}, {'y': 8, 'x': 58}]",36,Throw in,[{'id': 1801}],3166
7,Others on the ball,539.604432,233623886,2576229,1H,21123,"[{'y': 8, 'x': 58}, {'y': 35, 'x': 76}]",70,Acceleration,[{'id': 1801}],3166
8,Pass,542.060977,233623887,2576229,1H,21123,"[{'y': 35, 'x': 76}, {'y': 66, 'x': 84}]",85,Simple pass,[{'id': 1801}],3166
1,Duel,544.327187,233623893,2576229,1H,259292,"[{'y': 66, 'x': 84}, {'y': 69, 'x': 83}]",11,Ground attacking duel,"[{'id': 501}, {'id': 703}, {'id': 1801}]",3166
1,Duel,544.515302,233623854,2576229,1H,190167,"[{'y': 34, 'x': 16}, {'y': 31, 'x': 17}]",12,Ground defending duel,"[{'id': 502}, {'id': 701}, {'id': 1802}]",3172
10,Shot,545.857187,233623896,2576229,1H,259292,"[{'y': 69, 'x': 83}, {'y': 0, 'x': 0}]",100,Shot,"[{'id': 402}, {'id': 2101}, {'id': 1802}]",3166
7,Others on the ball,547.33255,233623856,2576229,1H,190167,"[{'y': 38, 'x': 14}, {'y': 0, 'x': 20}]",72,Touch,[{'id': 1401}],3172
5,Interruption,549.906211,233623857,2576229,1H,0,"[{'y': 0, 'x': 20}, {'y': 100, 'x': 100}]",50,Ball out of the field,[],3172
3,Free Kick,567.99549,233623899,2576229,1H,20707,"[{'y': 100, 'x': 84}, {'y': 69, 'x': 86}]",36,Throw in,[{'id': 1802}],3166
7,Others on the ball,569.177072,233623862,2576229,1H,625,"[{'y': 31, 'x': 14}, {'y': 32, 'x': 16}]",72,Touch,[{'id': 1302}],3172
1,Duel,570.258778,233623902,2576229,1H,149848,"[{'y': 68, 'x': 84}, {'y': 70, 'x': 82}]",11,Ground attacking duel,"[{'id': 702}, {'id': 1801}]",3166
1,Duel,571.309464,233623864,2576229,1H,86366,"[{'y': 32, 'x': 16}, {'y': 30, 'x': 18}]",12,Ground defending duel,"[{'id': 702}, {'id': 1801}]",3172
8,Pass,571.930787,233623903,2576229,1H,149848,"[{'y': 70, 'x': 82}, {'y': 65, 'x': 85}]",85,Simple pass,[{'id': 1802}],3166
7,Others on the ball,572.81826,233623866,2576229,1H,20841,"[{'y': 35, 'x': 15}, {'y': 25, 'x': 34}]",71,Clearance,"[{'id': 1401}, {'id': 1802}]",3172
8,Pass,575.26687,233623904,2576229,1H,21373,"[{'y': 75, 'x': 66}, {'y': 30, 'x': 85}]",83,High pass,[{'id': 1801}],3166
1,Duel,577.65481,233623906,2576229,1H,232822,"[{'y': 30, 'x': 85}, {'y': 33, 'x': 81}]",11,Ground attacking duel,"[{'id': 702}, {'id': 1801}]",3166
1,Duel,578.807718,233623868,2576229,1H,263803,"[{'y': 70, 'x': 15}, {'y': 67, 'x': 19}]",12,Ground defending duel,"[{'id': 702}, {'id': 1801}]",3172
1,Duel,580.131532,233623907,2576229,1H,232822,"[{'y': 33, 'x': 81}, {'y': 33, 'x': 79}]",11,Ground attacking duel,"[{'id': 703}, {'id': 1801}]",3166
1,Duel,580.131532,233625771,2576229,1H,0,"[{'y': 67, 'x': 19}, {'y': 67, 'x': 21}]",12,Ground defending duel,"[{'id': 701}, {'id': 1802}]",3172
2,Foul,580.622796,233623875,2576229,1H,263803,"[{'y': 67, 'x': 21}, {'y': 67, 'x': 19}]",20,Foul,[],3172
3,Free Kick,640.6820990000001,233624743,2576229,1H,21123,"[{'y': 33, 'x': 79}, {'y': 0, 'x': 0}]",33,Free kick shot,"[{'id': 402}, {'id': 1101}, {'id': 2101}, {'id': 201}, {'id': 1802}]",3166
7,Others on the ball,641.618655,233623879,2576229,1H,0,"[{'y': 64, 'x': 11}, {'y': 59, 'x': 0}]",72,Touch,[{'id': 1401}],3172
5,Interruption,645.663127,233623878,2576229,1H,0,"[{'y': 59, 'x': 0}, {'y': 100, 'x': 100}]",50,Ball out of the field,[],3172
3,Free Kick,666.915135,233624746,2576229,1H,21123,"[{'y': 0, 'x': 100}, {'y': 40, 'x': 95}]",30,Corner,"[{'id': 801}, {'id': 1802}]",3166
7,Others on the ball,668.5434789999999,233623881,2576229,1H,86366,"[{'y': 60, 'x': 5}, {'y': 6, 'x': 13}]",71,Clearance,"[{'id': 1401}, {'id': 1801}]",3172
